> Task :checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :processResources NO-SOURCE
> Task :compileKotlin
> Task :compileJava NO-SOURCE
> Task :classes UP-TO-DATE
> Task :cir2
processing k=19 [0, 2, 1, 1, 1, 0, 0, 0, 0] t=20h 10m 0.077042375s
processing k=19 [0, 2, 1, 1, 1, 0, 0, 0, 0] t=20h 20m 0.077570916s
processing k=19 [0, 2, 1, 1, 1, 0, 0, 0, 0] t=20h 30m 0.078191833s
processing k=19 [0, 2, 1, 1, 1, 0, 0, 0, 1] t=20h 40m 0.078738208s
processing k=19 [0, 2, 2, 1, 0, 0, 0, 0, 0] t=20h 50m 0.079214833s
processing k=19 [0, 2, 2, 1, 0, 0, 0, 0, 0] t=21h 0m 0.079650708s
processing k=19 [0, 3, 1, 1, 0, 0, 0, 0, 0] t=21h 10m 0.080115s
processing k=19 [0, 3, 1, 1, 0, 0, 0, 0, 1] t=21h 20m 0.081014458s
processing k=19 [0, 4, 1, 0, 0, 0, 0, 0, 0] t=21h 30m 0.082074166s
processing k=19 [0, 1, 1, 1, 1, 1, 1, 0, 0] t=21h 40m 0.082584291s
processing k=19 [0, 2, 1, 1, 1, 1, 0, 0, 0] t=21h 50m 0.083004250s
processing k=19 [0, 2, 1, 1, 1, 1, 0, 0, 1] t=22h 0m 0.083478875s
processing k=19 [0, 2, 2, 1, 1, 0, 0, 0, 0] t=22h 10m 0.083985875s
processing k=19 [0, 3, 1, 1, 1, 0, 0, 0, 0] t=22h 20m 0.084419250s
processing k=19 [0, 3, 1, 1, 1, 0, 0, 0, 1] t=22h 30m 0.084912375s
processing k=19 [0, 4, 1, 1, 0, 0, 0, 0, 0] t=22h 40m 0.085402916s
processing k=19 [0, 2, 2, 1, 1, 1, 0, 0, 0] t=22h 50m 0.085860458s
processing k=19 [0, 3, 2, 1, 1, 0, 0, 0, 0] t=23h 0m 0.086291458s
processing k=19 [0, 6, 1, 0, 0, 0, 0, 0, 1] t=23h 10m 0.086649083s
processing k=19 [0, 4, 3, 1, 1, 0, 0, 0, 0] t=23h 20m 0.086946750s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=23h 30m 0.087445666s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=23h 40m 0.087892875s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=23h 50m 0.088344583s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 0h 0m 0.088791250s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 0h 10m 0.089227041s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 0h 20m 0.089634500s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 0h 30m 0.090082291s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 0h 40m 0.090501083s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 0h 50m 0.090805791s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 1h 0m 0.091249541s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 1h 10m 0.091569916s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 1h 20m 0.094365125s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 1h 30m 0.094806958s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 1h 40m 0.095258791s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 1h 50m 0.096349458s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 2h 0m 0.096790833s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 2h 10m 0.097238750s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 2h 20m 0.097751916s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 2h 30m 0.098200500s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 2h 40m 0.098666083s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 2h 50m 0.099145708s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 3h 0m 0.099660958s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 3h 10m 0.100401916s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 3h 20m 0.100899250s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 3h 30m 0.101291875s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 3h 40m 0.101724458s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 3h 50m 0.102253125s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 4h 0m 0.102654208s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 4h 10m 0.103119875s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 4h 20m 0.103573375s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 4h 30m 0.104077541s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 4h 40m 0.104567333s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 4h 50m 0.105009958s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 5h 0m 0.105432208s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 5h 10m 0.105854541s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0] t=1d 5h 20m 0.106362625s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 5h 30m 0.106863s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 5h 40m 0.107341208s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 5h 50m 0.107786416s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 6h 0m 0.108256250s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 6h 10m 0.108696041s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 6h 20m 0.109110166s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 6h 30m 0.109583416s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 6h 40m 0.110018166s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 6h 50m 0.111730250s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 1] t=1d 7h 0m 0.112145625s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 2] t=1d 7h 10m 0.112551291s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 2] t=1d 7h 20m 0.112974958s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 2] t=1d 7h 30m 0.113407625s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0, 3] t=1d 7h 40m 0.113891875s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 7h 50m 0.114352666s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 8h 0m 0.114817208s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 8h 10m 0.115264916s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 8h 20m 0.115782416s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 8h 30m 13.568650583s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 8h 40m 13.569089958s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 8h 50m 13.569464708s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 9h 0m 13.569859166s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 9h 10m 13.570294916s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 9h 20m 13.570752041s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 9h 30m 13.571157750s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 9h 40m 13.571487583s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 9h 50m 13.571908875s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 10h 0m 13.572344833s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 10h 10m 13.572811125s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 10h 20m 13.573235916s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 10h 30m 13.573674958s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 10h 40m 13.574117458s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 10h 50m 13.574555375s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 11h 0m 13.574960708s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 11h 10m 13.575314s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 11h 20m 13.575693041s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 11h 30m 13.576092125s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 11h 40m 13.576501541s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 11h 50m 13.576978875s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 12h 0m 13.577332166s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 12h 10m 13.577629291s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 12h 20m 13.578038208s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 12h 30m 13.578497333s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 12h 40m 13.578947958s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 12h 50m 13.579385166s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 13h 0m 13.579826250s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 13h 10m 13.580223708s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 13h 20m 13.580617166s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 13h 30m 13.580985916s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 13h 40m 13.581395416s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 13h 50m 13.581846125s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 14h 0m 13.581991416s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 14h 10m 13.582187458s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 14h 20m 13.582495625s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 14h 30m 13.582691541s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 14h 40m 13.583158583s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 14h 50m 13.583474291s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 15h 0m 13.583671166s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0] t=1d 15h 10m 13.584120375s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 15h 20m 13.584437625s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 15h 30m 13.584608083s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 15h 40m 13.584819875s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 15h 50m 13.585290333s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 16h 0m 13.585736916s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 16h 10m 13.586187333s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 16h 20m 13.587495041s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 16h 30m 13.587981s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 16h 40m 13.588445500s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 16h 50m 13.588869750s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 17h 0m 13.589337291s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0, 1] t=1d 17h 10m 13.589811416s
